GEOID,total_area_km2
54041,1009.0687832813953
54073,348.5604392733229
54027,1669.7241957592255
13219,482.6763353665464
13237,934.0901594406185
04012,11682.769622376803
13201,734.6067327466307
51149,729.961268303646
51157,691.9646383686427
51067,1843.054353122283
51087,634.0620549312985
51017,1384.6093010470881
51141,1258.55837619587
51177,1073.10535502604
51037,1236.78632709428
51109,1320.0499049226112
51101,740.5536536282539
51033,1390.8680949833158
51181,733.7291221097184
51678,6.530945195438801
13135,1131.2884996987573
13103,1250.7066626707426
13067,892.2846976019418
13089,702.2639343771244
13153,984.1913751532188
13229,889.125306152552
13077,1155.0872513159482
13317,1228.0130138170211
13217,723.245513607202
13019,1185.628455269859
19195,1040.922869014986
19029,1463.352057406657
20169,1868.226184902303
21203,824.1699446175343
21193,887.2004065882261
21069,909.9001648800984
21183,1544.2722538918154
21175,994.0489492466966
20105,1865.7937343582855
21063,609.5448937475062
17097,1218.6602762685632
39035,1188.3319421686444
39075,1098.434839978185
39095,898.8534416933653
06071,52074.13386386437
06041,1407.6095760065937
36053,1712.8295021978474
36029,2730.094552601094
06063,6768.59661961991
06079,8605.09729992625
36103,2978.9252915612096
06009,2685.7028250519375
36065,3257.295440225415
08035,2183.071926083301
12057,2801.4998485598057
12117,894.3881607535128
09003,1943.9323163969002
12055,2865.8288732689857
08013,1917.8371656378602
12031,2195.061841721065
12107,2141.7175554732967
08093,5725.833985966052
08055,4126.414622312971
12109,1744.2069488373777
42045,494.3606820698676
42111,2801.5289720062187
42103,1468.1960934329625
42027,2882.5576349369776
44003,454.95724646782236
55059,720.2302051966008
30027,11266.584351002426
30081,6216.774100221886
30049,9058.175764308764
30087,13014.063188092223
30001,14433.007662208114
30013,7022.780630051506
30007,3206.763265799265
30055,6946.388838551968
49057,1709.0172732596488
49049,5553.701878254764
49017,13491.41059261475
01003,4350.689085071198
13079,845.626678155977
13001,1326.6087266465745
28007,1907.84044710274
13283,524.2865640579404
48073,2750.9580860054766
34029,1953.5587836993873
34033,903.1684059325122
35039,15271.587419052234
35043,9620.07531034481
28149,1602.2528525455618
35021,5507.35495394404
01129,2819.446268950091
53061,5466.072214251355
51015,2514.315892319739
53055,497.5886081851448
51031,1312.3409165314486
53063,4612.240394070756
51051,864.0140797249045
51195,1050.3327536293668
53015,3020.943871764885
33009,4531.1830322449205
32019,5247.704730976862
24017,1254.410107600692
21095,1212.5853405047558
21047,1875.0323367117064
23013,1058.864113037893
23015,1336.3127797722711
22035,1146.4878441748785
21027,1516.5547578524747
21127,1087.9240370190137
