Year,Season,Latitude,Longitude,Mean_Temperature_C,Max_Temperature_C,P95_Temperature_C,Max_Wetbulb_C,Mean_Wetbulb_C,Days_Above_35C,Days_Above_Wetbulb_28C,Days_High_Wind,Max_Consecutive_Hot_Days,Max_Consecutive_Wetbulb_Days
2014,Fall,27.38,-80.88,26.37,36.24,31.86,13.17,8.91,2,0,0,2,0
2014,Fall,27.38,-79.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-78.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-77.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-76.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-75.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-74.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-73.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-72.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-71.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-70.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-69.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-68.88,,,,,,0,0,0,0,0
2014,Fall,27.38,-67.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-124.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-123.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-122.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-121.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-120.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-119.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-118.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-117.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-116.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-115.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-114.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-113.88,23.09,30.19,28.27,10.52,7.5,0,0,0,0,0
2014,Fall,28.38,-112.88,24.88,32.88,30.45,11.65,8.26,0,0,0,0,0
2014,Fall,28.38,-111.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-110.88,26.21,33.29,31.91,11.84,8.82,0,0,0,0,0
2014,Fall,28.38,-109.88,24.24,30.2,29.38,10.5,7.99,0,0,0,0,0
2014,Fall,28.38,-108.88,16.44,21.9,21.04,6.99,4.64,0,0,0,0,0
2014,Fall,28.38,-107.88,14.94,22.5,20.4,7.24,3.99,0,0,0,0,0
2014,Fall,28.38,-106.88,15.09,23.19,21.62,7.54,4.05,0,0,0,0,0
2014,Fall,28.38,-105.88,18.08,29.16,26.23,10.1,5.34,0,0,0,0,0
2014,Fall,28.38,-104.88,18.29,29.28,27.48,10.14,5.43,0,0,0,0,0
2014,Fall,28.38,-103.88,19.18,31.09,28.76,10.9,5.81,0,0,0,0,0
2014,Fall,28.38,-102.88,21.32,31.6,30.68,11.14,6.73,0,0,0,0,0
2014,Fall,28.38,-101.88,20.8,30.52,29.85,10.65,6.5,0,0,0,0,0
2014,Fall,28.38,-100.88,23.32,33.31,32.31,11.84,7.58,0,0,0,0,0
2014,Fall,28.38,-99.88,24.05,34.42,33.31,12.31,7.89,0,0,0,0,0
2014,Fall,28.38,-98.88,24.0,34.09,32.8,12.18,7.87,0,0,0,0,0
2014,Fall,28.38,-97.88,23.6,32.77,31.48,11.6,7.71,0,0,0,0,0
2014,Fall,28.38,-96.88,23.84,32.56,30.98,11.55,7.82,0,0,0,0,0
2014,Fall,28.38,-95.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-94.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-93.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-92.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-91.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-90.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-89.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-88.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-87.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-86.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-85.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-84.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-83.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-82.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-81.88,25.46,38.31,32.35,14.05,8.51,3,0,0,3,0
2014,Fall,28.38,-80.88,25.6,36.71,31.44,13.37,8.58,2,0,0,2,0
2014,Fall,28.38,-79.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-78.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-77.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-76.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-75.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-74.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-73.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-72.88,,,,,,0,0,0,0,0
2014,Fall,28.38,-71.88,,,,,,0,0,0,0,0
