variable,state,state_fips,mean,std,min,max,trend_per_decade,n_counties
TNn,NH,33,-6.892715905559231,10.23625422828738,-25.74942630701523,9.140456867376507,0.5075810664946084,10
TNn,NJ,34,-0.5489865765943392,9.027422843837195,-16.18465083311536,14.71600194757952,0.46457300449768085,21
TNn,NM,35,-2.7215559575699966,9.491762718399478,-16.823782937330368,13.017718102293328,0.4369087251038703,33
TNn,NY,36,-5.114525519407978,10.02154281324275,-23.343872729853366,10.712542642935489,0.5262067254823563,62
TNn,NC,37,2.1244443918925366,9.19544658993833,-11.993253549599267,17.532159381800664,0.40106649868819266,100
TNn,ND,38,-10.006893063462199,13.441177236448118,-32.33655649961004,11.352229428672763,0.5819582561661472,53
TNn,OH,39,-2.589179207073838,9.855941170795033,-19.87909191125503,14.166450891032598,0.5451774234587112,88
TNn,OK,40,1.366505476618462,10.988171119956796,-16.0669868935425,19.549117478761765,0.4727009184544253,77
TNn,OR,41,-5.0983699365375355,6.096582816968204,-17.438001056601028,5.642500133591269,0.4806878951043056,36
TNn,PA,42,-3.671958139388915,9.241372242324516,-19.5548807322504,11.947036857138398,0.5410368204112407,67
TNn,RI,44,-1.4015874662451784,8.943392664397061,-18.33972509759792,13.925421005699194,0.45577924860532965,5
TNn,SC,45,4.445936670913139,9.277283222348979,-9.278510414616681,19.674695965681273,0.35498810194541697,46
TNn,SD,46,-7.85576644225204,12.880068410723029,-29.103159331415895,13.154570347618106,0.5452968051257964,66
TNn,TN,47,0.6112850375746886,9.832152570676634,-16.38077373780065,17.396371906442155,0.4724026114358676,95
TNn,TX,48,4.839801072266356,10.19635981930767,-10.764478153936297,20.742930657834844,0.4216922986855136,254
TNn,UT,49,-5.745868820802206,9.365412572024296,-21.81788915153984,10.577487622457657,0.6014267833784669,29
TNn,VT,50,-7.587095733771432,10.84897009423205,-27.55960014617418,9.180422941616607,0.5406251417165114,14
TNn,VA,51,-0.06822637823333794,9.241156386033452,-15.36316999497228,15.753921322286057,0.4348927622011766,133
TNn,WA,53,-3.6118619584281517,6.451168983925816,-16.9293133316365,7.029983052312014,0.526213177472604,39
TNn,WV,54,-3.4322435688247803,9.762544050084937,-20.496036689947328,13.31477613551113,0.5266324546426723,55
