variable,state,state_fips,mean,std,min,max,trend_per_decade,n_counties
FD,IA,19,127.92084328424242,6.457018351112517,116.60134788816882,140.33167971305028,-3.1472436388514944,99
FD,KS,20,108.23968708732475,5.985284814405065,97.71100156981545,120.5452862268644,-2.9112264747098298,105
FD,KY,21,81.74356019709494,6.4204621736008995,70.67043641850127,94.31891835942409,-2.9126996355333024,120
FD,LA,22,20.470525964301725,3.1004338268325524,15.163781138922058,27.510248973703554,-1.4058854192810848,64
FD,ME,23,161.9206396107586,5.844518928070106,151.83276650225017,177.18216248522646,-2.7417468907596803,16
FD,MD,24,76.7494247301244,6.960228719701872,62.46042526454183,92.94270169666682,-3.4243780011719473,24
FD,MA,25,124.0517800274654,6.8386063296724195,109.89440364645142,141.11767648213328,-3.3418891015041368,14
FD,MI,26,137.0954934070708,7.228606249513539,124.64948615253134,154.48312703790253,-3.506426478832187,83
FD,MN,27,161.40414693429176,5.737236107699079,150.67029223431533,173.9673043555202,-2.847325531299025,87
FD,MS,28,37.13436066917841,4.611123098904967,29.17672004720943,47.90396038703906,-2.0673581448771827,82
FD,MO,29,91.26585007736863,6.517561531225787,80.71155479905872,104.24171127412855,-3.063653598364334,115
FD,MT,30,180.2987628565899,7.086857464327469,164.02071582766405,194.36261532360416,-3.5727905974292713,56
FD,NE,31,141.2036468097883,5.8283961174004455,130.51660704130364,152.64470949989806,-2.8947844452722893,93
FD,NV,32,154.72799926555928,7.39608174281116,139.18043671988394,170.21815067649212,-3.3788671357754856,17
FD,NH,33,158.36801947924323,6.152611196062904,145.9917605586356,174.657731614802,-2.8612994103468985,10
FD,NJ,34,92.69040376793642,7.101568231204973,78.45958433530626,109.26150116398983,-3.4895969212143747,21
FD,NM,35,128.14759959015817,6.081425102676991,119.26548391126931,142.09664169150355,-2.9103794407732733,33
FD,NY,36,134.390460990635,6.530180747815315,121.71146098473194,151.18466592693628,-3.183668253259409,62
FD,NC,37,59.89659206273421,6.116393364147944,48.04321970575955,73.82860644604455,-2.8689478192692817,100
FD,ND,38,170.64001627249104,5.503995254607105,158.48715643411455,182.01635210292704,-2.7436296370812405,53
FD,OH,39,104.01797630655594,6.738275230122521,90.8053707313229,118.11933071969734,-3.1735262213041646,88
FD,OK,40,68.91026936055223,5.602574546733103,58.442327936479565,81.33668758442546,-2.7107858501599646,77
FD,OR,41,141.54930904062365,8.980717467894598,124.0128853301446,158.17882215961464,-4.36309090742389,36
FD,PA,42,121.611075168887,6.93023302915182,108.8908705658488,137.92953106752054,-3.4379811280837598,67
FD,RI,44,101.29742797802687,7.667973009738876,85.72750069112092,120.18177633496255,-3.774411955018574,5
FD,SC,45,39.770809743454514,5.172438477138118,29.278692788743722,52.11308643534403,-2.3628097467131477,46
FD,SD,46,151.93032958402446,5.833988063872337,138.80506921749506,163.4485343643942,-2.876198420924235,66
FD,TN,47,71.06717392336597,6.123750771609823,60.89797908452485,84.47274181816123,-2.700947883251179,95
FD,TX,48,39.35073060997134,3.766939122884564,32.79273325323091,48.39188651975139,-1.8399377846426936,254
FD,UT,49,156.85619107733737,7.250972741568026,144.51655239060682,172.5433677276733,-3.46066696083809,29
FD,VT,50,159.75328566920402,5.90042374779978,147.73619202767748,175.65821650568148,-2.7302525847156427,14
FD,VA,51,82.40353337533061,6.89922779687329,70.24226513718466,97.27682580827931,-3.3185851122455463,133
FD,WA,53,119.93122666327852,8.931104686389826,101.79993203219865,136.2179709390427,-4.470966585830813,39
FD,WV,54,109.24959606714093,6.924370337731972,97.10413309360949,123.55631994533529,-3.3864632494380276,55
FD,WI,55,149.77830763202581,6.304693160514963,138.92167855085216,165.1745834895761,-2.9950222976342364,72
FD,WY,56,196.49607187757715,6.8308014221489755,182.90209178329926,210.72816581029514,-3.464660570039773,23
GSL,AL,01,351.48637920132825,3.002616844909172,345.00660025196316,356.82900163916923,1.1813618431086848,67
GSL,AZ,04,327.2405317248034,4.566420275843708,318.47939719868515,335.75124587609366,2.3336615795712015,15
GSL,AR,05,337.1233777995037,5.630485192960629,323.5533832909766,349.1565648590782,2.298249676061944,75
GSL,CA,06,324.49965350416676,3.657837767390822,316.5627774072442,330.1408094756029,1.8213503428595186,58
GSL,CO,08,229.29965325685347,7.652875404397868,213.3796668855874,242.64797238084924,3.833332749024323,64
GSL,CT,09,0.0,0.0,0.0,0.0,0.0,9
GSL,DE,10,311.63357651101165,9.714163820567677,280.9734084061528,328.5134504562936,4.238407132094415,3
GSL,DC,11,314.27450980392155,9.219714597258527,288.0,329.0,4.016776640017519,1
GSL,FL,12,364.21542095879,0.5927161063778029,363.13967824548706,365.54666026093923,0.09363311747610069,67
GSL,GA,13,354.86702724285965,2.277249613993636,349.56089765258156,359.4821301990369,0.8508262426966813,159
GSL,ID,16,209.0219556180832,7.880466646201052,192.93263244860242,223.68940707430895,3.8331324355182606,44
GSL,IL,17,274.9258481530996,8.89504337801541,252.38166154741273,288.9331998418527,3.9997216070321087,102
GSL,IN,18,274.92653402402277,9.348659706787695,251.15815624295638,290.1548060295648,4.094062293635132,92
GSL,IA,19,243.56833463899278,8.174188637435554,228.58412730723228,257.6871088987038,3.432001503097945,99
GSL,KS,20,290.0431491426066,9.161665233121216,267.1822989421382,307.2486535787644,4.188008163932186,105
GSL,KY,21,311.54604593284154,8.343500846637182,290.9553148558486,324.3945006429819,3.4731938768388866,120
GSL,LA,22,359.1252340371341,1.628505585728691,355.728148870338,362.9073198442904,0.5325683492944885,64
GSL,ME,23,200.99610869780244,6.052470336784905,185.78455994267267,213.3351634498407,2.7016001209674183,16
GSL,MD,24,303.86535418875087,9.37830054584438,276.73070983476913,319.1369609078631,4.2367619414147235,24
GSL,MA,25,242.6097356756793,8.996040860838491,223.56095517987828,263.35440244323553,4.040045274456001,14
GSL,MI,26,226.21373520045034,7.514696853286491,207.19029559724908,239.42345133756132,3.2204675363765682,83
GSL,MN,27,207.25837477942613,6.048583922623189,194.3868915952282,219.86567918474185,2.4962812452208283,87
GSL,MS,28,351.7060459317537,3.1700250312137177,342.993139154796,357.4376530561921,1.2327302969883351,82
GSL,MO,29,295.78776773458924,8.961452539226165,271.00083708090943,309.7334620160863,4.067661246336733,115
GSL,MT,30,213.58736825936538,7.672635025647782,198.17448865229892,231.82370210191743,3.363818268503626,56
GSL,NE,31,253.52577069775916,9.193284427549683,236.483617742673,271.60020262906806,4.1358849911637074,93
GSL,NV,32,263.0692905734583,8.300795552086699,245.9956823632091,277.7552861668119,4.1007323437637035,17
GSL,NH,33,211.6896829982354,6.827104066607002,196.3700098371338,230.10423996994564,3.007798500133364,10
GSL,NJ,34,281.933364489436,9.509703605064571,256.484872020388,299.70129313700943,4.12708279720956,21
GSL,NM,35,297.7858945072906,6.449758848588219,284.90288917585286,307.4322599467799,3.2212254921138856,33
GSL,NY,36,231.92543903393087,8.388442075262665,214.87343774202037,248.9605464394378,3.583831978825255,62
GSL,NC,37,337.6396656971565,5.010541350796894,324.40548993214696,347.3798296232447,2.084861460878259,100
GSL,ND,38,205.01179137189365,5.4641498447656875,194.37634369829627,215.46226702204018,2.317210569510173,53
GSL,OH,39,273.0701378668817,9.909218279867062,250.1948078238503,290.5010125616241,4.383750478562802,88
GSL,OK,40,330.565104753449,6.222964158356788,314.3416472242583,340.1844135371276,2.705066484929761,77
GSL,OR,41,257.153888521462,8.534105605053135,239.90896216675222,272.51126872916655,4.209062736801977,36
GSL,PA,42,254.41810509152853,10.00772968937997,232.76666603428004,276.15664404570555,4.242239813295782,67
GSL,RI,44,264.3104119652436,10.533553399731636,243.41509376879867,290.2724706098177,4.420339702506257,5
GSL,SC,45,353.06076502073194,2.9670484472406247,345.7629050139757,359.1497645690913,1.0672725039480322,46
GSL,SD,46,231.74713792351585,7.834215445086513,217.0769033505288,252.57887562847006,3.3171215931183227,66
GSL,TN,47,325.64944938450856,6.783746689242455,309.06042456614864,338.6248208555593,2.7487919117763004,95
GSL,TX,48,352.2849592798383,2.354522962353335,346.5110288518595,355.96028546272214,0.9215027264294376,254
GSL,UT,49,246.70677799246923,8.015034235849285,230.6935688056382,262.21706299191544,4.0124764378026345,29
GSL,VT,50,209.63235230199652,6.94781145571503,194.7156785505242,228.74610902830267,2.979438523074973,14
GSL,VA,51,312.6572908344644,8.486878850333774,288.1804397375331,326.463901060678,3.8532050585982454,133
GSL,WA,53,252.5369498586975,8.517622024542648,235.9653681954973,269.0655143509218,4.216402345162146,39
GSL,WV,54,284.5781823126686,10.215898105957585,256.85051603811917,301.74477443440554,4.665180835509973,55
GSL,WI,55,217.41446930050859,6.61364759831667,202.13340563108122,227.18181692907385,2.7920036589713706,72
GSL,WY,56,205.47430918840695,6.827318890416123,189.96649325465089,218.0882177258944,3.272807538058823,23
R95p,AL,01,366.7469337777318,31.851985574810488,306.68710394224956,450.7900623750703,7.677163906963883,67
R95p,AZ,04,58.21827147086543,7.691048831739637,41.92727950076242,79.47660483213164,0.5626268812078397,15
R95p,AR,05,315.60455814196945,24.858276560223693,262.25715938173437,396.55308740381776,2.4510382069306793,75
R95p,CA,06,140.7254807529405,16.598099104340058,111.46288775167712,190.593247467952,2.870710026393112,58
R95p,CO,08,94.17221550341928,7.680409523530728,78.2109071472419,119.82030636060439,1.5843896176281507,64
R95p,CT,09,0.0,0.0,0.0,0.0,0.0,9
R95p,DE,10,282.76484634948787,28.27098487674719,225.5159689322034,336.2568622742101,6.792065147350778,3
R95p,DC,11,272.72450980392153,27.621860206273226,202.2199999999998,316.94000000000005,6.299839146862315,1
R95p,FL,12,340.1024592685294,23.39609269547939,291.8101107670892,399.6474872668797,6.808849370286883,67
R95p,GA,13,318.1313893865288,29.141477526610494,243.25386088164612,402.5628975915617,9.235871453545228,159
R95p,ID,16,128.13345777594816,11.04345116808416,100.34451182691804,145.47753531826305,3.6855731249732293,44
R95p,IL,17,243.3325832461741,20.065479351834128,212.36533339655242,293.88538703517276,6.26627351972341,102
R95p,IN,18,260.5057616333809,20.480113415161835,224.38121828629207,316.3283457145577,6.886018783202238,92
R95p,IA,19,206.6095581880274,17.347498477639633,180.39475060120745,254.296516584484,5.163450606701812,99
R95p,KS,20,163.25572951904266,15.490728665153615,136.98864276292088,206.58333171545002,3.810822987573547,105
R95p,KY,21,298.2415317824496,26.335089922498405,249.0876444186256,362.8341256393467,6.77642589910884,120
R95p,LA,22,374.7212822979104,28.569856718971067,300.4259488667383,438.76720610730524,2.691747778857999,64
R95p,ME,23,296.79403663865605,27.199163665086115,230.23028119670616,359.67324293939936,7.2479055870416715,16
R95p,MD,24,279.95784411584737,26.36041260295448,226.38466811612003,324.87991306802866,6.78259073871437,24
R95p,MA,25,308.25827538393514,26.04557997331117,256.06793941789226,384.4274778213529,3.2692650708057127,14
R95p,MI,26,205.96382731168424,16.334764140872952,173.83137366306474,258.8398913441383,5.365539702971131,83
R95p,MN,27,171.93915092380172,9.849717536866526,150.42775768093762,201.79239786331385,2.6779714598605757,87
R95p,MS,28,364.3998851336605,29.610027786997343,305.0939254280136,436.0277775502159,5.588951630586055,82
R95p,MO,29,262.12707637308085,23.043040657712055,216.74072681053826,329.967860091038,6.026685235261977,115
R95p,MT,30,108.0609395393535,8.053772018763736,82.47836879103903,122.45120708192815,2.119391672622187,56
R95p,NE,31,131.11724671516887,11.844737833481055,108.58252067192402,160.50282354567418,3.169946590648227,93
R95p,NV,32,49.126039210956826,5.594227714556625,38.37477171032164,69.42445861318481,1.2763085984357292,17
R95p,NH,33,301.78130490160436,27.76051376716502,230.46862652924275,364.6149809115001,6.259077220955243,10
R95p,NJ,34,299.8392466198743,26.566611150179288,238.65761153124154,370.6338982535192,6.258318207234914,21
R95p,NM,35,67.3538767955468,6.74744291772687,54.05308270370606,83.2186219241187,0.7023705835960582,33
R95p,NY,36,270.34407691391135,19.139775607878253,225.49725705057577,310.2476432507928,5.275010349455305,62
R95p,NC,37,324.51546566105986,22.75849180543857,266.86598776831244,392.1168780321741,8.234144458859543,100
R95p,ND,38,109.19963001259352,9.601935086402186,85.27095949822775,133.7435116106005,1.6744245687275476,53
R95p,OH,39,240.59696738205065,19.093165060994792,194.55617311745712,280.55196389663746,6.379376684970298,88
R95p,OK,40,206.792190355567,17.544728721010078,175.52985772624487,265.2811153223862,2.5876736861049103,77
R95p,OR,41,195.03932485549672,19.285382210182405,148.56533114753518,229.54376841705505,5.263091888063366,36
R95p,PA,42,278.9687506727694,21.1424602088926,235.89247214279007,341.9698022502909,6.5733082882994305,67
R95p,RI,44,314.6172811753027,29.559118874047954,252.8190054152674,395.17613113911614,5.340837327125281,5
R95p,SC,45,306.1516562180071,27.26282133948634,247.8095805753006,382.5747528753425,9.44857957740975,46
R95p,SD,46,115.73563498632738,8.189225728331655,97.41669461292243,133.47245260911703,1.8129089489254322,66
R95p,TN,47,337.9326835539691,28.955410620742224,279.58730556794484,413.81106268662944,5.698253725187265,95
R95p,TX,48,165.75084062093867,13.044032711353422,139.6907961542152,193.1519017280347,0.3484500499070562,254
R95p,UT,49,66.27068083078757,7.689954045212517,52.520447318738746,93.36962084326758,1.8020712056100179,29
R95p,VT,50,286.7115236355682,23.60359702769744,239.15908688360352,329.9206294607931,6.609446948835998,14
R95p,VA,51,283.7141275529626,22.270071491383785,225.40103136062143,338.2474368146863,5.9709221640133645,133
R95p,WA,53,258.83652402631776,22.944420670378427,186.39760509827647,308.28213477630345,6.526832779891532,39
R95p,WV,54,272.1543458062398,21.889946757278615,223.43533477060384,314.81400781712637,5.467248655123897,55
R95p,WI,55,203.85420546443183,15.735845195017228,166.53977455947253,245.37666386149618,3.6952536607782847,72
R95p,WY,56,83.2196142855706,6.740500887868054,65.3078021196246,99.02017346815461,1.5394183422939274,23
Rx5day,AL,01,150.35426114894827,7.483804680818518,134.95946126397877,167.4878044257289,1.7136408032262622,67
Rx5day,AZ,04,51.55434501615237,3.2187706740775788,44.3903865720591,60.8534359595103,0.15240304493924592,15
Rx5day,AR,05,142.79257006830872,7.818437124679841,129.36290244779622,169.32146800868384,0.7911658204695471,75
Rx5day,CA,06,106.92978558467189,6.125848660652598,94.02195298886453,124.5107661657949,0.3778394179698645,58
Rx5day,CO,08,55.174378970257,2.5107762541090244,50.77263266416074,65.82976260133928,0.35897329144104617,64
Rx5day,CT,09,0.0,0.0,0.0,0.0,0.0,9
Rx5day,DE,10,112.73781498124612,7.415311671147918,99.94536979315674,130.00824082211113,1.3369145660808277,3
Rx5day,DC,11,113.47156862745089,7.986137332290017,97.29999999999971,131.53999999999996,0.1778382022779488,1
Rx5day,FL,12,151.62010730151573,5.720393827429945,137.47017260723015,163.82207787258025,0.9011986224752243,67
Rx5day,GA,13,131.93973219829414,6.279099305296284,114.92505032253881,151.56272530382358,1.8635497854678866,159
Rx5day,ID,16,63.637938285627456,2.7032427631037472,57.41265423238074,69.7173708098558,0.7063894055427973,44
Rx5day,IL,17,103.53377573338919,3.4773158111501994,96.77824252740957,111.88140655209457,1.0751778883062775,102
Rx5day,IN,18,102.49912438184325,3.779740777883789,95.40360696199879,113.80719119640035,1.118004671644588,92
Rx5day,IA,19,99.69347639591305,3.8778543639748424,90.55436150151439,108.6090066402154,1.0549712296314555,99
Rx5day,KS,20,95.8190912834539,4.547572681847985,88.56838647687218,106.77452819952035,0.806652904089459,105
Rx5day,KY,21,115.1935629513469,5.035872083101546,103.98145621545954,126.2977755958727,1.2464540644485618,120
Rx5day,LA,22,169.66245777063398,7.874695236950945,151.3650697615839,185.51192546378994,0.7370873102788277,64
Rx5day,ME,23,99.4396202854502,5.106416835883752,89.19554272172563,111.56963195610552,0.49524469558193485,16
Rx5day,MD,24,109.40800989033976,6.03718383173383,95.60341055818118,120.9759849286778,0.802205190656793,24
Rx5day,MA,25,112.9805332027442,5.305754145287048,102.36723471010512,123.15225924075676,-0.0036546047206791475,14
Rx5day,MI,26,78.47298254041267,2.7368561734194867,73.25168042181753,86.6114472498179,0.6802646016703418,83
Rx5day,MN,27,84.42535843668281,3.370857853047752,75.1081968391749,93.62743728313698,0.2068170427081679,87
Rx5day,MS,28,155.93559982699807,7.062597227583,143.89476491781176,172.12487844282333,1.1387254213611675,82
Rx5day,MO,29,117.61102102077639,4.989307403549031,105.07047120414119,130.91888535826868,1.2600965432391913,115
Rx5day,MT,30,60.19742303472334,2.5642277904308983,52.880442873406615,66.1451235393016,0.3707796344542167,56
Rx5day,NE,31,77.58611918167117,3.674892412360542,71.1873837312488,85.561543692322,0.6211610523050797,93
Rx5day,NV,32,40.18394529716776,2.10960940046003,36.28113199962402,45.85181854353546,0.24572055049319858,17
