variable,state,value_2014,delta_2014_2024,delta_2024_2034,delta_2034_2044,delta_2044_2054,total_delta,national_delta,significantly_different,p_value
R95p,MI,197.66716378329156,-19.411885768514964,16.73248821982415,-2.0853134357501517,24.890730645322577,20.12601966088161,26.84440097213914,False,0.8775418108714584
R95p,MN,156.84127043428728,18.439172678384296,-0.14701439139741979,-21.193017203000807,21.478270399217877,18.577411483203946,26.84440097213914,False,0.8488324840470547
R95p,MO,216.74072681053826,18.717380375958328,26.12745973275014,26.047283361629525,-8.418032252595651,62.47409121774234,26.84440097213914,False,0.3522662516026723
R95p,MS,321.4493186846451,24.615160639094086,49.44938893708286,-9.988034989008952,-29.111628145336283,34.96488644183171,26.84440097213914,False,0.9131532528200481
R95p,MT,96.15773659924783,5.073703286722164,0.6263530242534898,14.239911637184733,0.6549070085958846,20.59487495675627,26.84440097213914,False,0.7454451318795435
R95p,NC,295.3634555832571,33.39359312072372,-14.518901509304385,24.77078732949667,-3.2388013243730143,40.40667761654299,26.84440097213914,False,0.7835865620342637
R95p,ND,95.49542211132996,12.255072920901469,3.994401864673492,-7.253056263703229,8.643398914609364,17.639817436481096,26.84440097213914,False,0.6831111582199181
R95p,NE,132.42479662359597,-8.581942225615748,14.660647205415685,0.09853491738593334,21.900787024892338,28.07802692207821,26.84440097213914,False,0.9691277315516247
R95p,NH,230.46862652924275,128.1685935129532,-100.68200806703766,24.686785882882873,32.725616820610696,84.89898814940912,26.84440097213914,False,0.7681862798147504
R95p,NJ,260.36746848794104,37.96638487416402,-3.000637619456654,32.74296663956528,-44.532830614488034,23.175883279784614,26.84440097213914,False,0.9637692797406366
R95p,NM,64.19714201719978,3.060916545689224,9.051706735426407,-11.761974217906157,5.109786091064009,5.460435154273483,26.84440097213914,False,0.37784874295163107
R95p,NV,44.86708415040311,-0.41832366977754276,6.454415014708786,-3.4850808203455372,2.881466390184066,5.432476914769772,26.84440097213914,False,0.22171914600995138
R95p,NY,250.1063527797149,15.688436963408805,-26.182230282607605,20.98672706662748,17.479270470274855,27.972204217703535,26.84440097213914,False,0.9813814847011878
R95p,OH,222.1477122374229,5.5371607300861285,6.5694214617158195,46.29766946741262,-11.746055353919246,46.65819630529532,26.84440097213914,False,0.7103773821616932
R95p,OK,191.04404814081929,10.89516358014447,4.84872406855618,33.00540564730227,-42.114709600991375,6.634583695011543,26.84440097213914,False,0.764785499201764
R95p,OR,181.94152705899197,-21.594671154642555,22.786589647465803,37.63567165888924,8.774651206350597,47.60224135806308,26.84440097213914,False,0.7045727941722862
R95p,PA,254.10364828133063,22.327204376873993,-3.8918184629975485,32.909666592104486,-25.418336434215462,25.92671607176547,26.84440097213914,False,0.9870449983538775
R95p,RI,265.5361741611272,117.37500893972606,-71.74619224857815,14.73287055591345,14.3292818595595,74.69096910662086,26.84440097213914,False,0.7683891492624384
R95p,SC,270.5899817964213,61.226080189684865,-58.96397706596332,66.67835817642924,-28.689830986523702,40.250630313627084,26.84440097213914,False,0.9197758949218953
R95p,SD,111.10348353252404,8.376936194831288,-11.731946555443301,13.610319213572382,4.819942907579971,15.07525176054034,26.84440097213914,False,0.6612740200009384
R95p,TN,279.58730556794484,32.51280956117694,24.092608643806216,40.28089105656608,-63.61303184435792,33.27327741719131,26.84440097213914,False,0.9496767436640859
R95p,TX,140.16736223168732,18.69536108429736,15.859349981700717,9.111808408504118,-29.37481539732906,14.291704077173137,26.84440097213914,False,0.7965042729856291
R95p,UT,60.28252138123462,6.139542220388044,0.676172098655357,-4.193989420467609,8.190808408671124,10.812533307246916,26.84440097213914,False,0.3890763768851237
R95p,VA,269.65964739585894,21.754532593818112,-2.0524649607399965,-1.1637723577633778,0.7689594394781238,19.30725471479286,26.84440097213914,False,0.7835752300389092
R95p,VT,241.81499100991095,81.84731399872044,-70.55963878285078,6.587429481429325,51.9452986163102,69.82040331360918,26.84440097213914,False,0.7581225721948571
R95p,WA,232.8665556710151,-8.730230796410808,28.30226133999787,8.26859324515189,27.880391601073256,55.72101538981221,26.84440097213914,False,0.47488646681663105
R95p,WI,183.4927609825467,-11.572644772369841,30.83994166276986,-18.224891690828827,18.638480410742346,19.68088561031354,26.84440097213914,False,0.8884665146685393
R95p,WV,244.72818729788938,29.549479648216078,3.6690512679754193,36.77773151209368,-28.44407405958225,41.55218836870293,26.84440097213914,False,0.8160738866241599
R95p,WY,79.09129648321739,10.593730465111918,-3.527369623008596,3.108687932762564,1.5668179112109897,11.741866686076875,26.84440097213914,False,0.42387703221800677
Rx5day,AL,137.10701592804267,13.897111297643846,4.3301888463271325,1.6709811067385942,4.376179762033956,24.27446101274353,5.749538235052725,False,0.16734536182676432
Rx5day,AR,129.36290244779622,13.356996927388764,13.223050329082042,11.271932067106803,-17.240912957389895,20.611066366187714,5.749538235052725,False,0.6413632628842265
Rx5day,AZ,54.531277206403665,-1.1355160621769045,-4.176460357042373,0.5604301050962164,0.9372488693633656,-3.8142974447596956,5.749538235052725,False,0.20600941511530343
Rx5day,CA,105.02240677510927,0.8166776396758166,-1.4042971553122499,1.6426665965161078,-2.6171686548479585,-1.5621215739682839,5.749538235052725,False,0.2872772910660371
Rx5day,CO,54.41086830877928,1.8784364733164765,-0.9674915432879345,-0.924033525420036,0.27752279789053347,0.2644342024990394,5.749538235052725,False,0.362242800820174
Rx5day,DC,114.5,-5.950000000000287,-4.379999999999626,17.179999999999836,-19.75,-12.900000000000077,5.749538235052725,False,0.5682269159008757
Rx5day,DE,107.50858998766947,3.547877570341086,-3.9823714066875624,5.611597875072775,-12.587333405476969,-7.41022936675067,5.749538235052725,False,0.4737965840485937
Rx5day,FL,141.91511337686845,15.474622437773462,-13.195283396413856,4.178754235915363,15.448871218436835,21.906964495711804,5.749538235052725,False,0.5783878081756919
Rx5day,GA,118.96142150944628,21.936354021551566,-15.801165163362498,11.933168437084106,3.704188693497372,21.772545988770545,5.749538235052725,False,0.6383025152055981
Rx5day,IA,92.91660118489744,4.188435072932336,1.8275650016282583,-2.811919902009265,11.561884606287578,14.765964778838907,5.749538235052725,False,0.5123558920291005
Rx5day,ID,60.70811490742576,3.4320462933416636,-2.791113525362647,3.661836725945008,0.440418728349357,4.743188222273382,5.749538235052725,False,0.901293385036909
Rx5day,IL,100.43628637684891,-0.9777678264509575,0.9823587565261818,0.8922830230681598,7.994890876684579,8.891764829827963,5.749538235052725,False,0.7466630195615698
Rx5day,IN,97.43729274146268,2.4488889429664624,-2.040767425275888,7.354427624261021,8.607349312986074,16.36989845493767,5.749538235052725,False,0.36769096389681893
Rx5day,KS,91.23605300220501,3.97342783531937,-2.022480645423144,3.44107802278171,-0.2575729854443978,5.134452227233538,5.749538235052725,False,0.9379208869974982
Rx5day,KY,103.98145621545954,4.9792707924538036,4.383022907244168,8.757993662906486,4.19603201780869,22.316319380413148,5.749538235052725,True,0.04346274503618015
Rx5day,LA,164.860424653845,-3.598388348637201,15.904866998029519,4.440409610395562,-10.90974866679798,5.8371395929898995,5.749538235052725,False,0.9971458212061363
Rx5day,MA,105.45287575448167,17.699383486275096,-17.146168000403833,4.792294362714571,-8.121671887420831,-2.776162038834997,5.749538235052725,False,0.7913036797112301
Rx5day,MD,109.21253070335445,1.6635325700571855,-6.338152716245574,13.06065369897604,-18.064808858208863,-9.678775305421212,5.749538235052725,False,0.5842555719354926
Rx5day,ME,94.67851451903427,15.944175325239343,-19.2703183980788,1.9395648187909984,3.901101018299599,2.51452276425114,5.749538235052725,False,0.9167667288008372
Rx5day,MI,78.18196877217751,-3.745441729679598,1.7854017316022208,0.9599890672140958,1.8878530516192882,0.8878021207560067,5.749538235052725,False,0.5270259276817665
Rx5day,MN,80.34470038556603,3.371970501970594,1.5805650109138298,-6.649409222493844,8.139699455211712,6.442825745602292,5.749538235052725,False,0.9599882194115859
Rx5day,MO,105.07047120414119,9.056913016390524,6.474712425967539,0.6398960173549568,-2.456916027974458,13.714605431738562,5.749538235052725,False,0.5185255364756036
Rx5day,MS,149.1866502037512,7.00168228899517,4.464069919744446,0.6530667232076723,8.069408246713522,20.18822717866081,5.749538235052725,False,0.1287741794088571
Rx5day,MT,55.85736190400817,4.005470177642465,-1.6786395920815238,4.761156796508629,-3.3697117426950953,3.7182756393744754,5.749538235052725,False,0.8372701177741197
Rx5day,NC,120.8691416704603,11.36662029187238,-7.736194276455663,3.133208985557758,2.9948194992686155,9.75845450024309,5.749538235052725,False,0.81509436913769
Rx5day,ND,61.37811012834927,3.9571954818633586,2.8941182539443986,-1.4704567518859761,-0.5002225444442416,4.880634439477539,5.749538235052725,False,0.9072266732518932
